PropertyID,Borough,State,Surroundings,Address,ZipCode,Block,Lot,BldgClassCategory,NoOfResidentialUnits,NoOfCommercialUnits,TotalNoOfUnits,LandAreaInSqFt,GrossAreaInSqFt,YearOfConstruction,TaxClass_AtEvaluationTime,BldgClass_AtEvaluationTime,DateOfEvaluation,PropertyEvaluationvalue
PR11101,1,NY,BATHGATE,1473 CROTONA PLACE,10456,2927,127,02 TWO FAMILY DWELLINGS,2,0,2,1900,2394,1990,1,B1,30-05-2014,540000
PR11102,1,NY,BATHGATE,453 EAST 181,10457,3037,110,03 THREE FAMILY DWELLINGS,3,0,3,1687,3037,2002,1,C0,13-09-2014,750000
PR11103,1,NY,BATHGATE,511 EAST 171 STREET,10457,2912,155,02 TWO FAMILY DWELLINGS,2,0,2,2000,2400,1989,1,B1,28-09-2014,470000
PR11104,1,NY,BATHGATE,547 CLAREMONT PARKWAY,10457,2929,134,02 TWO FAMILY DWELLINGS,2,0,2,2356,2394,1991,1,B1,05-06-2014,570000
PR11105,1,NY,BATHGATE,2063 WASHINGTON AVENUE,10457,3036,140,02 TWO FAMILY DWELLINGS,2,0,2,3346,2308,1993,1,B1,07-02-2015,640000
PR11106,1,NY,BATHGATE,3825 3RD AVENUE,10457,2912,26,14 RENTALS - 4-10 UNIT,4,1,5,2000,5940,2007,2,S4,27-03-2015,1350000
PR11107,1,NY,BATHGATE,476 EAST 186 STREET,10458,3039,159,02 TWO FAMILY DWELLINGS,2,0,2,2033,2400,1993,1,B1,07-08-2014,400000
PR11108,1,NY,BATHGATE,559 CLAREMONT PARKWAY,10457,2929,128,02 TWO FAMILY DWELLINGS,2,0,2,2361,2394,1991,1,B1,25-02-2015,514216
PR11109,1,NY,BATHGATE,3864 3RD AVENUE,10457,2929,119,02 TWO FAMILY DWELLINGS,2,0,2,2432,2394,1991,1,B1,27-11-2014,679000
PR11110,1,NY,BATHGATE,1941 WASHINGTON AVENUE,10457,3034,137,02 TWO FAMILY DWELLINGS,2,0,2,2663,3204,1991,1,B1,23-07-2014,520000
PR11111,1,NY,EAST TREMONT,1991 ARTHUR AVE,10457,3068,39,03 THREE FAMILY DWELLINGS,3,0,3,1890,3276,2002,1,C0,11-07-2014,737500
PR11112,1,NY,EAST TREMONT,2027 DALY AVE,10460,3122,119,03  THREE FAMILY HOMES,3,0,3,1958,3516,2005,1,C0,26-09-2012,400000
PR11113,1,NY,EAST TREMONT,2056 HUGHES AVENUE,10457,3080,111,02 TWO FAMILY DWELLINGS,2,0,2,1350,1540,1991,1,B1,06-03-2015,500000
PR11114,1,NY,EAST TREMONT,583 EAST 178 STREET,10457,3068,143,03 THREE FAMILY DWELLINGS,3,0,3,1343,2700,2006,1,C0,19-04-2014,655000
PR11115,1,NY,EAST TREMONT,873 ELSMERE PLACE,10460,2960,149,03  THREE FAMILY HOMES,3,0,3,1950,4189,2006,1,C0,11-04-2013,365000
PR11116,1,NY,EAST TREMONT,2062 HUGHES AVENUE,10457,3080,112,02  TWO FAMILY HOMES,2,0,2,1462,1540,1995,1,B1,27-11-2012,390000
PR11117,1,NY,EAST TREMONT,1991 ARTHUR AVENUE,10457,3068,39,03  THREE FAMILY HOMES,3,0,3,1890,4168,2006,1,C0,08-01-2013,430000
PR11118,1,NY,EAST TREMONT,1985 PROSPECT AVENUE,10457,3093,142,03  THREE FAMILY HOMES,3,0,3,1967,2280,1994,1,C0,18-12-2012,280000
PR11119,1,NY,EAST TREMONT,2068 HUGHES AVENUE,10457,3080,114,02 TWO FAMILY DWELLINGS,2,0,2,1462,1540,1991,1,B1,26-04-2014,485000
PR11120,1,NY,EAST TREMONT,2060 MAPES AVENUE,10460,3108,7,03 THREE FAMILY DWELLINGS,3,0,3,3223,3024,1990,1,C0,31-01-2015,750000
PR11121,1,NY,EAST TREMONT,16 WADE SQUARE,10457,3063,152,01 ONE FAMILY DWELLINGS,1,0,1,2001,1364,1981,1,A5,05-06-2014,425000
PR11122,1,NY,EAST TREMONT,1935 MONTEREY AVENUE,10457,3060,121,02 TWO FAMILY DWELLINGS,2,0,2,1750,2300,1998,1,B1,12-10-2014,610000
PR11123,1,NY,EAST TREMONT,1983 SOUTHERN BOULEVARD,10460,3117,114,07 RENTALS - WALKUP APARTMENTS,4,0,4,1929,3991,1999,2,C3,02-05-2014,720000
PR11124,1,NY,EAST TREMONT,2083 DALY AVENUE,10460,3122,58,03 THREE FAMILY DWELLINGS,3,0,3,2763,4554,2001,1,C0,31-08-2014,575000
PR11125,1,NY,EAST TREMONT,1198 EAST TREMONT AVENUE,10460,3909,24,29  COMMERCIAL GARAGES,0,1,1,9200,1972,1968,4,G4,09-05-2013,1408300
PR11126,1,NY,EAST TREMONT,1877 BELMONT AVENUE,10457,2947,43,03 THREE FAMILY DWELLINGS,3,0,3,1464,2204,2000,1,C0,12-06-2014,650000
PR11127,1,NY,EAST TREMONT,943 EAST 181 STREET,10460,3129,36,03  THREE FAMILY HOMES,3,0,3,2338,3013,1997,1,C0,17-06-2013,430000
PR11128,1,NY,EAST TREMONT,818 ELSMERE PLACE,10460,2955,130,02 TWO FAMILY DWELLINGS,2,0,2,1666,2700,2003,1,B1,08-11-2014,466000
PR11129,1,NY,EAST TREMONT,2018 VYSE AVENUE,10460,3131,14,02 TWO FAMILY DWELLINGS,2,0,2,1986,2205,1988,1,B2,31-12-2014,635000
PR11130,1,NY,EAST TREMONT,1976 MAPES AVENUE,10460,3107,160,03  THREE FAMILY HOMES,3,0,3,2844,2469,1995,1,C0,01-08-2013,382000
PR11131,1,NY,EAST TREMONT,2082 HONEYWELL AVENUE,10460,3122,142,02 TWO FAMILY DWELLINGS,2,0,2,1979,3042,1996,1,B1,17-09-2014,675000
PR11132,1,NY,EAST TREMONT,838 EAST 180 STREET,10460,3118,157,22  STORE BUILDINGS,0,4,4,4496,4488,1989,4,K1,14-11-2012,700000
PR11133,1,NY,EAST TREMONT,964 EAST 181 STREET,10460,3133,113,03  THREE FAMILY HOMES,3,0,3,1610,4012,2004,1,C0,03-05-2013,350000
PR11134,1,NY,FORDHAM,2080 DAVIDSON AVENUE,10453,3192,22,02 TWO FAMILY DWELLINGS,2,0,2,1860,2340,1992,1,B1,28-12-2014,585000
PR11135,1,NY,FORDHAM,2082 VALENTINE AVENUE,10457,3144,2,03 THREE FAMILY DWELLINGS,3,0,3,1688,3093,2002,1,C0,06-07-2014,628000
PR11136,1,NY,FORDHAM,2084 VALENTINE AVENUE,10457,3144,3,03 THREE FAMILY DWELLINGS,3,0,3,1739,3093,2002,1,C0,27-12-2014,660000
PR11137,1,NY,FORDHAM,2454 TIEBOUT AVENUE,10458,3022,58,08  RENTALS - ELEVATOR APARTMENTS,70,8,78,14092,67570,1942,2,D7,11-12-2012,7700000
PR11138,1,NY,MOUNT HOPE/MOUNT EDEN,225 CROSS BRONX EXPWY,10457,2796,50,08 RENTALS - ELEVATOR APARTMENTS,38,0,38,6270,28200,1957,2,D1,22-08-2014,5100000
PR11139,1,NY,MOUNT HOPE/MOUNT EDEN,278 EAST 171 STREET,10457,2786,15,03  THREE FAMILY HOMES,3,0,3,1320,4024,2007,1,C0,22-03-2013,486720
PR11140,1,NY,MOUNT HOPE/MOUNT EDEN,1754 ANTHONY AVENUE,10457,2890,96,02 TWO FAMILY DWELLINGS,2,0,2,1829,2062,1998,1,B1,17-09-2014,593000
PR11141,1,NY,MOUNT HOPE/MOUNT EDEN,7 EAST 172ND STREET,10452,2846,2,22 STORE BUILDINGS,0,1,1,794,640,1974,4,K1,16-05-2014,635310
PR11142,1,NY,MOUNT HOPE/MOUNT EDEN,1820 MONROE AVENUE,10457,2800,33,37 RELIGIOUS FACILITIES,0,1,1,4799,4510,1985,4,M1,29-01-2015,1350000
PR11143,1,NY,MOUNT HOPE/MOUNT EDEN,280 EAST 171ST STREET,10457,2786,16,03  THREE FAMILY HOMES,3,0,3,1320,4024,2007,1,C0,25-01-2013,480000
PR11144,1,NY,MOUNT HOPE/MOUNT EDEN,1999 ANTHONY AVE,10457,2812,26,03 THREE FAMILY DWELLINGS,3,0,3,2362,3674,2003,1,C0,12-07-2014,1760000
PR11145,1,NY,MOUNT HOPE/MOUNT EDEN,1505 TOWNSEND AVENUE,10452,2846,74,08  RENTALS - ELEVATOR APARTMENTS,74,0,74,15300,78000,1941,2,D1,18-12-2012,6506896
PR11146,3,NY,NEW DORP,432 CLAWSON STREET,10306,4228,7,01  ONE FAMILY HOMES,1,0,1,4000,975,1950,1,A2,16-05-2013,385000
PR11147,3,NY,NEW DORP,97 MANILA AVENUE,10306,4058,158,02  TWO FAMILY HOMES,2,0,2,4465,2150,1960,1,B2,13-02-2013,515000
PR11148,3,NY,NEW DORP,136 JACQUES AVENUE,10306,3643,53,01 ONE FAMILY DWELLINGS,1,0,1,5000,1296,1946,1,A2,11-05-2014,640000
PR11149,3,NY,NEW DORP,7 3 STREET,10306,3621,28,01 ONE FAMILY DWELLINGS,1,0,1,2200,1280,1971,1,A5,07-12-2014,450000
PR11150,3,NY,NEW DORP,281 WEED AVENUE,10306,4058,73,01  ONE FAMILY HOMES,1,0,1,2377,1800,1996,1,A5,18-10-2012,370000
PR11151,3,NY,NEW DORP,373 TYSENS LANE,10306,4242,17,01 ONE FAMILY DWELLINGS,1,0,1,5410,1056,1956,1,A2,02-11-2014,625000
PR11152,3,NY,NEW DORP,26 EVA AVENUE,10306,4058,348,01 ONE FAMILY DWELLINGS,1,0,1,3731,1873,1961,1,A2,31-05-2014,628000
PR11153,3,NY,NEW DORP,32 STERLING AVENUE,10306,4225,22,01 ONE FAMILY DWELLINGS,1,0,1,4000,1040,1941,1,A2,29-10-2014,585000
PR11154,3,NY,NEW DORP,141 3 STREET,10306,4192,10,01  ONE FAMILY HOMES,1,0,1,7500,2961,1945,1,A1,22-05-2013,515000
PR11155,3,NY,NEW DORP,12 ISERNIA AVENUE,10306,4058,44,01 ONE FAMILY DWELLINGS,1,0,1,2673,1170,1956,1,A5,13-07-2014,530000
PR11156,3,NY,NEW DORP,103 ISERNIA AVENUE,10306,4055,5,01 ONE FAMILY DWELLINGS,1,0,1,2825,1600,1992,1,A5,20-06-2014,550000
PR11157,3,NY,NEW DORP,298 WEED AVENUE,10306,4058,179,02 TWO FAMILY DWELLINGS,2,0,2,4275,2136,1956,1,B2,18-07-2014,770000
PR11158,3,NY,NEW DORP,188 BANCROFT AVENUE,10306,3612,34,01 ONE FAMILY DWELLINGS,1,0,1,8000,1552,1946,1,A2,08-02-2015,740000
PR11159,3,NY,NEW DORP,40 EVA AVENUE,10306,4058,354,01 ONE FAMILY DWELLINGS,1,0,1,3780,1050,1951,1,A2,05-09-2014,552000
PR11160,3,NY,NEW DORP,16 RENO AVENUE,10306,4239,35,01  ONE FAMILY HOMES,1,0,1,5040,880,1960,1,A2,22-08-2012,405000
PR11161,3,NY,NEW DORP,68 PRINCETON AVENUE,10306,4240,29,01  ONE FAMILY HOMES,1,0,1,4000,2786,1965,1,A1,27-11-2012,580000
PR11162,3,NY,NEW DORP,357 BEACH AVE,10306,4228,53,01 ONE FAMILY DWELLINGS,1,0,1,5000,1248,1946,1,A2,29-11-2014,658000
PR11163,3,NY,NEW DORP,7 CANNON BOULEVARD,10306,4237,51,01 ONE FAMILY DWELLINGS,1,0,1,3200,1058,1956,1,A9,07-11-2014,497500
PR11164,3,NY,NEW DORP,724 TYSENS LANE,10306,4058,239,01 ONE FAMILY DWELLINGS,1,0,1,3906,1873,1956,1,A2,19-10-2014,560000
PR11165,3,NY,NEW DORP,67 CANNON BOULEVARD,10306,4240,14,01 ONE FAMILY DWELLINGS,1,0,1,4400,945,1956,1,A2,13-09-2014,425000
PR11166,3,NY,NEW DORP,117 LINDBERGH AVENUE,10306,4246,45,01 ONE FAMILY DWELLINGS,1,0,1,2000,1200,1991,1,A5,22-08-2014,595000
PR11167,3,NY,NEW DORP,20 CELTIC PLACE,10306,4035,35,01 ONE FAMILY DWELLINGS,1,0,1,2323,1680,1995,1,A1,23-04-2014,650000
PR11168,3,NY,NEW DORP,336 ROSE AVE,10306,4226,10,01 ONE FAMILY DWELLINGS,1,0,1,4000,1144,1941,1,A1,12-04-2014,625000
PR11169,3,NY,NEW DORP,146 CANNON BOULEVARD,10306,4250,25,01 ONE FAMILY DWELLINGS,1,0,1,4600,900,1956,1,A2,28-12-2014,699900
PR11170,3,NY,NEW DORP,69 EBBITTS STREET,10306,4039,1,01 ONE FAMILY DWELLINGS,1,0,1,5000,864,1961,1,A2,27-07-2014,392000
PR11171,3,NY,NEW DORP,3 CANNON BOULEVARD,10306,4237,53,01 ONE FAMILY DWELLINGS,1,0,1,3300,1058,1956,1,A9,01-03-2015,475000
PR11172,3,NY,NEW DORP,160 RENO AVENUE,10306,4254,20,02  TWO FAMILY HOMES,2,0,2,4500,1728,1965,1,B1,13-12-2012,535000
PR11173,3,NY,NEW DORP,286 LOCUST AVENUE,10306,3646,37,01  ONE FAMILY HOMES,1,0,1,4000,980,1960,1,A2,13-03-2013,225000
PR11174,3,NY,NEW DORP,77 CUBA AVENUE,10306,4033,36,01 ONE FAMILY DWELLINGS,1,0,1,2000,1200,1990,1,A5,24-07-2014,550000
PR11175,3,NY,NEW DORP,164 DARTMOUTH LOOP,10306,3960,125,02 TWO FAMILY DWELLINGS,2,0,2,1820,1300,2001,1,B9,30-07-2014,665000
PR11176,3,NY,NEW DORP,147 DARTMOUTH LOOP,10306,3960,129,02 TWO FAMILY DWELLINGS,2,0,2,1750,1300,2001,1,B9,08-02-2015,648888
PR11177,3,NY,NEW DORP,21 WINDMILL COURT,10306,4031,88,02 TWO FAMILY DWELLINGS,2,0,2,1247,1360,1995,1,B9,14-06-2014,490000
PR11178,3,NY,NEW DORP,86 EBBITTS STREET,10306,4054,36,01 ONE FAMILY DWELLINGS,1,0,1,2500,1280,2002,1,A5,16-08-2014,560000
PR11179,3,NY,NEW DORP,48A FRANCINE COURT,10306,4229,1051,04 TAX CLASS 1 CONDOS,1,0,1,89120,1265,1984,1,R3,21-05-2014,150000
PR11180,3,NY,NEW DORP,758 TYSENS LANE,10306,4058,255,01 ONE FAMILY DWELLINGS,1,0,1,3906,1873,1956,1,A2,18-06-2014,675000
